action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Determined,18763710,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(N)n(CC(N)=O)c2ccc(Oc3ccc(NC(=O)CN)cc3)cc12,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,,CHEMBL4279997,,CHEMBL4279997,,0,,3117758,,1,0,,,IC50,,,,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,,,,
,,18763711,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(N)[nH]c2ccc(Oc3ccc(NC(=O)[C@H](N)CO)cc3)cc12,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '14.35', 'le': '0.26', 'lle': '3.37', 'sei': '3.36'}",CHEMBL3421643,,CHEMBL3421643,5.04,0,http://www.openphacts.org/units/Nanomolar,3117759,=,1,1,=,,IC50,nM,,9100.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,9.1
,,18763712,[],CHEMBL4266989,Inhibition of full-length NSD2 (unknown origin) using HeLa oligonucleosome as substrate preincubated for 15 mins followed by substrate addition measured after 45 mins in presence of SAM by MTaseGlo assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(N)[nH]c2ccc(Oc3ccc(NC(=O)[C@@H](N)CO)cc3)cc12,,,CHEMBL4265895,Bioorg Med Chem Lett,2018,"{'bei': '14.11', 'le': '0.26', 'lle': '3.29', 'sei': '3.30'}",CHEMBL3422654,,CHEMBL3422654,4.96,0,http://www.openphacts.org/units/Nanomolar,3117760,=,1,1,=,,IC50,nM,,11000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,11.0
,,20706322,[],CHEMBL4628258,Inhibition of NSD2 (unknown origin) preincubated for 15 mins followed by addition of [3H]-SAM as substrate and peptide solution after 240 mins cold SAM was added measured by radioisotope assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,,,CHEMBL4627299,Bioorg Med Chem,2020,"{'bei': '19.48', 'le': '0.36', 'lle': '3.30', 'sei': '5.02'}",CHEMBL55415,SCUTELLAREIN,CHEMBL55415,5.58,0,http://www.openphacts.org/units/Nanomolar,3487324,=,1,1,=,,IC50,nM,,2650.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,2.65
"{'action_type': 'ANTAGONIST', 'description': 'Binds to a receptor and prevents activation by an agonist through competing for the binding site', 'parent_type': 'NEGATIVE MODULATOR'}",,22922815,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '24.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '24.0'}]",CHEMBL4736944,Displacement of Halo-tagged Histone H3.3 from Nanoluc-tagged NSD2- PWWP1 (unknown origin) transfected in human U2OS cells preincubated for one day followed by Nano-GloR substrate addition at the next day and measured withing 10 mins by NanoBRET assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(C(=O)N(Cc2cccs2)C2CC2)cc1,,,CHEMBL4732170,J Med Chem,2021,"{'bei': '16.86', 'le': '0.33', 'lle': '1.34', 'sei': '10.80'}",CHEMBL4758943,,CHEMBL4758943,4.76,0,http://www.openphacts.org/units/Nanomolar,3559064,=,1,1,=,,IC50,nM,,17300.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,17.3
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232267,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(C(=O)NCc3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.05', 'le': '0.31', 'lle': '1.36', 'sei': '8.55'}",CHEMBL4875973,,CHEMBL5028926,4.71,0,http://www.openphacts.org/units/Nanomolar,3613895,=,1,1,=,,IC50,nM,,19400.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,19.4
,,23232268,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,O=C(NCc1ccccc1)c1cccc2[nH]ccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4856393,,CHEMBL4856393,,0,http://www.openphacts.org/units/Nanomolar,3613896,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232269,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,O=C(NCc1ccccc1)c1cccc2ncccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.95', 'le': '0.32', 'lle': '1.55', 'sei': '11.21'}",CHEMBL4877262,,CHEMBL4877262,4.71,0,http://www.openphacts.org/units/Nanomolar,3613897,=,1,1,=,,IC50,nM,,19600.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,19.6
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232270,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.83', 'le': '0.35', 'lle': '2.67', 'sei': '7.71'}",CHEMBL4854710,,CHEMBL5028132,5.57,0,http://www.openphacts.org/units/Nanomolar,3613898,=,1,1,=,,IC50,nM,,2700.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,2.7
,,23232271,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1ccc2c(S(=O)(=O)NCc3ccccc3)cccc2c1,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4864770,,CHEMBL5028777,,0,http://www.openphacts.org/units/Nanomolar,3613899,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232272,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2cc(S(=O)(=O)NCc3ccccc3)ccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4856783,,CHEMBL5028170,,0,http://www.openphacts.org/units/Nanomolar,3613900,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232273,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1ccc2cc(S(=O)(=O)NCc3ccccc3)ccc2c1,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4847273,,CHEMBL5028313,,0,http://www.openphacts.org/units/Nanomolar,3613901,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232274,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1ccc(S(=O)(=O)NCc2ccccc2)c2ccccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4865640,,CHEMBL5028598,,0,http://www.openphacts.org/units/Nanomolar,3613902,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232275,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)Nc3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4875996,,CHEMBL5028939,,0,http://www.openphacts.org/units/Nanomolar,3613903,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232276,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCCc3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '14.74', 'le': '0.29', 'lle': '1.87', 'sei': '6.67'}",CHEMBL4870938,,CHEMBL5028701,4.81,0,http://www.openphacts.org/units/Nanomolar,3613904,=,1,1,=,,IC50,nM,,15400.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,15.4
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232277,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccc(F)cc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '14.68', 'le': '0.29', 'lle': '1.81', 'sei': '6.72'}",CHEMBL4858012,,CHEMBL5028012,4.85,0,http://www.openphacts.org/units/Nanomolar,3613905,=,1,1,=,,IC50,nM,,14100.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,14.1
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232278,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(CNS(=O)(=O)c2cccc3c(N)cccc23)cc1.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '14.22', 'le': '0.28', 'lle': '1.96', 'sei': '5.98'}",CHEMBL4865731,,CHEMBL5028745,4.87,0,http://www.openphacts.org/units/Nanomolar,3613906,=,1,1,=,,IC50,nM,,13500.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,13.5
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232279,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccc(C(F)(F)F)cc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '13.10', 'le': '0.26', 'lle': '1.06', 'sei': '6.90'}",CHEMBL4877005,,CHEMBL5028975,4.98,0,http://www.openphacts.org/units/Nanomolar,3613907,=,1,1,=,,IC50,nM,,10400.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,10.4
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232280,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.N#Cc1ccc(CNS(=O)(=O)c2cccc3c(N)cccc23)cc1,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '14.06', 'le': '0.27', 'lle': '1.97', 'sei': '4.94'}",CHEMBL4850576,,CHEMBL5028323,4.74,0,http://www.openphacts.org/units/Nanomolar,3613908,=,1,1,=,,IC50,nM,,18100.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,18.1
,,23232281,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.N#Cc1cccc(CNS(=O)(=O)c2cccc3c(N)cccc23)c1,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4872729,,CHEMBL5028532,,0,http://www.openphacts.org/units/Nanomolar,3613909,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232282,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccc(C(=O)O)cc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4867190,,CHEMBL5028854,,0,http://www.openphacts.org/units/Nanomolar,3613910,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232283,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccncc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.77', 'le': '0.35', 'lle': '3.27', 'sei': '6.55'}",CHEMBL4852059,,CHEMBL5028289,5.57,0,http://www.openphacts.org/units/Nanomolar,3613911,=,1,1,=,,IC50,nM,,2700.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,2.7
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232284,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCc3cccs3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '14.40', 'le': '0.30', 'lle': '1.63', 'sei': '6.35'}",CHEMBL4853865,,CHEMBL5028128,4.58,0,http://www.openphacts.org/units/Nanomolar,3613912,=,1,1,=,,IC50,nM,,26000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,26.0
,,23232285,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NCC3CCCCC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4867601,,CHEMBL5028809,,0,http://www.openphacts.org/units/Nanomolar,3613913,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232286,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Cl.Nc1cccc2c(S(=O)(=O)NCC3CCCNC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4858426,,CHEMBL5028173,,0,http://www.openphacts.org/units/Nanomolar,3613914,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
